semantic_replication_id,dgp,N,T,replication,true_rank,candidate_coverage,thresholded_cap_pilot_direct,nuclear_path_direct,neighbor_of_cap_pilot,neighbor_of_nuclear_proposal,multiple_sources,coverage_attribution,all_identified_mechanisms,saved_true_rank_sources
dgp4_N50_T50_r2026080902_truth1-1-1,4,50,50,2026080902,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""nuclear_path_10"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp4_N50_T50_r2026080903_truth1-1-1,4,50,50,2026080903,"(1,1,1)",True,False,True,True,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_cap_pilot"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""neighbor_of_(1, 1, 2)"", ""nuclear_path_6"", ""nuclear_path_7""]"
dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""nuclear_path_10"", ""nuclear_path_11"", ""nuclear_path_12"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 1, 2)"", ""nuclear_path_10"", ""nuclear_path_5"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp1_N100_T100_r2026080903_truth1-1-1,1,100,100,2026080903,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""nuclear_path_10"", ""nuclear_path_11"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp2_N100_T100_r2026080901_truth1-1-1,2,100,100,2026080901,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""neighbor_of_(1, 1, 2)"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp2_N100_T100_r2026080902_truth1-1-1,2,100,100,2026080902,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""nuclear_path_10"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp2_N100_T100_r2026080903_truth1-1-1,2,100,100,2026080903,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""nuclear_path_5"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp3_N100_T100_r2026080901_truth1-1-1,3,100,100,2026080901,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""neighbor_of_(1, 1, 2)"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp3_N100_T100_r2026080902_truth1-1-1,3,100,100,2026080902,"(1,1,1)",True,False,True,False,False,False,nuclear_path_direct,"[""nuclear_path_direct""]","[""baseline_local_completion"", ""nuclear_path_10"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp3_N100_T100_r2026080903_truth1-1-1,3,100,100,2026080903,"(1,1,1)",True,False,True,False,False,False,nuclear_path_direct,"[""nuclear_path_direct""]","[""baseline_local_completion"", ""nuclear_path_5"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp4_N100_T100_r2026080901_truth1-1-1,4,100,100,2026080901,"(1,1,1)",True,False,True,False,False,False,nuclear_path_direct,"[""nuclear_path_direct""]","[""baseline_local_completion"", ""nuclear_path_10"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp4_N100_T100_r2026080902_truth1-1-1,4,100,100,2026080902,"(1,1,1)",True,False,True,False,False,False,nuclear_path_direct,"[""nuclear_path_direct""]","[""baseline_local_completion"", ""nuclear_path_5"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
dgp4_N100_T100_r2026080903_truth1-1-1,4,100,100,2026080903,"(1,1,1)",True,False,True,False,True,True,multiple_sources,"[""nuclear_path_direct"", ""neighbor_of_nuclear_proposal""]","[""baseline_local_completion"", ""neighbor_of_(1, 0, 1)"", ""nuclear_path_6"", ""nuclear_path_7"", ""nuclear_path_8"", ""nuclear_path_9""]"
