semantic_replication_id,replication_seed_state_uint32x4,dgp,N,T,panel,true_rank,replication,chunk_id,maintained_start_count,valid_start_count,failed_finite_objective,failed_feasibility,failed_stationarity,failed_objective_agreement,failed_boundary_rule,failed_rank_condition,failed_termination,failed_other,insufficient_valid_starts,best_two_valid_gap_exceeds_tolerance,any_start_stationarity_failure,any_start_termination_failure,any_start_feasibility_failure,any_start_boundary_active,all_start_objectives_finite,all_start_numerical_ranks,best_two_valid_objective_gap,objective_stability_tolerance,acceptance_pass,final_status
dgp1_N100_T200_r00000_truth1-1-1,262917197-1395033561-2424138606-3851585346,1,100,200,100x200,"(1,1,1)",0,dgp1_N100_T200_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T200_r00000_truth2-1-1,1622279041-2350401006-3298003279-2861832865,1,100,200,100x200,"(2,1,1)",0,dgp1_N100_T200_true2-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T200_r00001_truth1-0-2,3504887274-2595079835-3668615863-3124451221,1,100,200,100x200,"(1,0,2)",1,dgp1_N100_T200_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T200_r00001_truth1-1-1,4186555303-2054876582-1707186546-3241336411,1,100,200,100x200,"(1,1,1)",1,dgp1_N100_T200_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T200_r00001_truth2-1-1,2239394878-1157234335-1888447211-2379009286,1,100,200,100x200,"(2,1,1)",1,dgp1_N100_T200_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T200_r00002_truth1-0-2,258736538-2973700069-3816995771-1564915325,1,100,200,100x200,"(1,0,2)",2,dgp1_N100_T200_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T200_r00002_truth1-1-1,2718565127-3669576146-2925956193-1159899965,1,100,200,100x200,"(1,1,1)",2,dgp1_N100_T200_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N100_T200_r00002_truth2-1-1,3293157866-1592092327-3853121251-685867412,1,100,200,100x200,"(2,1,1)",2,dgp1_N100_T200_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00000_truth1-0-2,4101924698-2145943582-2794402045-2486443855,1,200,100,200x100,"(1,0,2)",0,dgp1_N200_T100_true1-0-2_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00000_truth1-1-1,174828567-2760512171-702081722-2636973942,1,200,100,200x100,"(1,1,1)",0,dgp1_N200_T100_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00000_truth2-1-1,3736189993-1601399094-3117604046-2557164146,1,200,100,200x100,"(2,1,1)",0,dgp1_N200_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00001_truth1-0-2,2542482861-1965407545-1669925843-1137351017,1,200,100,200x100,"(1,0,2)",1,dgp1_N200_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00001_truth1-1-1,415079697-959747619-1300218179-528821086,1,200,100,200x100,"(1,1,1)",1,dgp1_N200_T100_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00001_truth2-1-1,2046774045-3907148680-824646326-1471470740,1,200,100,200x100,"(2,1,1)",1,dgp1_N200_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00002_truth1-0-2,594580475-3355483362-4198779320-642053474,1,200,100,200x100,"(1,0,2)",2,dgp1_N200_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00002_truth1-1-1,2977001943-2129736064-4006429886-3406732888,1,200,100,200x100,"(1,1,1)",2,dgp1_N200_T100_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T100_r00002_truth2-1-1,2234960481-3667193387-292781004-1358621906,1,200,100,200x100,"(2,1,1)",2,dgp1_N200_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00000_truth1-0-2,2003956529-40660088-725691137-1661322672,1,200,200,200x200,"(1,0,2)",0,dgp1_N200_T200_true1-0-2_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00000_truth1-1-1,2308813819-844991268-3786172539-3212467096,1,200,200,200x200,"(1,1,1)",0,dgp1_N200_T200_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00000_truth2-1-1,1976029404-3091483324-1450491317-80381887,1,200,200,200x200,"(2,1,1)",0,dgp1_N200_T200_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00001_truth1-0-2,1567367396-957224186-1317358510-3094897162,1,200,200,200x200,"(1,0,2)",1,dgp1_N200_T200_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00001_truth1-1-1,2825400259-3581948471-450783819-81019427,1,200,200,200x200,"(1,1,1)",1,dgp1_N200_T200_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00001_truth2-1-1,279575233-1884693893-4089764174-113099029,1,200,200,200x200,"(2,1,1)",1,dgp1_N200_T200_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00002_truth1-0-2,2559658165-1113751769-455596193-3605436048,1,200,200,200x200,"(1,0,2)",2,dgp1_N200_T200_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00002_truth1-1-1,1893086505-2162469785-4044670822-2525070257,1,200,200,200x200,"(1,1,1)",2,dgp1_N200_T200_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00002_truth2-1-1,481726837-3867953649-3839463087-3375073498,1,200,200,200x200,"(2,1,1)",2,dgp1_N200_T200_true2-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00000_truth1-0-2,3490749937-2460933935-1043009760-2804002756,1,50,50,50x50,"(1,0,2)",0,dgp1_N50_T50_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00000_truth1-1-1,1157703448-2203590321-2701673329-2286612217,1,50,50,50x50,"(1,1,1)",0,dgp1_N50_T50_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00000_truth2-1-1,3945248744-728597582-2018825551-291512360,1,50,50,50x50,"(2,1,1)",0,dgp1_N50_T50_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00001_truth1-0-2,3680125876-1683966624-3509559297-2490146119,1,50,50,50x50,"(1,0,2)",1,dgp1_N50_T50_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00001_truth1-1-1,3907894639-3621736129-1369434151-2970015578,1,50,50,50x50,"(1,1,1)",1,dgp1_N50_T50_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00001_truth2-1-1,3504340144-2405869942-1356163523-1868647460,1,50,50,50x50,"(2,1,1)",1,dgp1_N50_T50_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00002_truth1-0-2,3247818990-302293056-3924059125-874562239,1,50,50,50x50,"(1,0,2)",2,dgp1_N50_T50_true1-0-2_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00002_truth1-1-1,1304123236-3769553280-2261463044-1636914318,1,50,50,50x50,"(1,1,1)",2,dgp1_N50_T50_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp1_N50_T50_r00002_truth2-1-1,565929317-544035433-3799712913-3410107148,1,50,50,50x50,"(2,1,1)",2,dgp1_N50_T50_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00000_truth1-0-2,3821818021-82334631-4162834129-3535263122,2,100,100,100x100,"(1,0,2)",0,dgp2_N100_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00000_truth1-1-1,1931811349-2415079415-328709066-2231103701,2,100,100,100x100,"(1,1,1)",0,dgp2_N100_T100_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00000_truth2-1-1,3937459214-3743326893-2848525432-4249112027,2,100,100,100x100,"(2,1,1)",0,dgp2_N100_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00001_truth1-0-2,2669154363-2734402212-96468786-963535446,2,100,100,100x100,"(1,0,2)",1,dgp2_N100_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00001_truth1-1-1,1770917967-1339318943-3094907517-2896278006,2,100,100,100x100,"(1,1,1)",1,dgp2_N100_T100_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00001_truth2-1-1,3875544403-3693237409-3871079157-2185802655,2,100,100,100x100,"(2,1,1)",1,dgp2_N100_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00002_truth1-0-2,3439349284-3869155278-23841802-885859104,2,100,100,100x100,"(1,0,2)",2,dgp2_N100_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00002_truth1-1-1,2081097973-2933688078-2354368827-3399889393,2,100,100,100x100,"(1,1,1)",2,dgp2_N100_T100_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00002_truth2-1-1,3721943854-279786092-3740443977-1403231084,2,100,100,100x100,"(2,1,1)",2,dgp2_N100_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00000_truth1-0-2,1127573059-1818030493-1863221239-2653795895,2,100,200,100x200,"(1,0,2)",0,dgp2_N100_T200_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00000_truth1-1-1,2632301346-2248635392-1661139875-1160661696,2,100,200,100x200,"(1,1,1)",0,dgp2_N100_T200_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00000_truth2-1-1,779640520-3473662907-1267405469-2051711537,2,100,200,100x200,"(2,1,1)",0,dgp2_N100_T200_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00001_truth1-0-2,482471744-2644425041-173242720-1779689672,2,100,200,100x200,"(1,0,2)",1,dgp2_N100_T200_true1-0-2_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00001_truth1-1-1,1162241432-1539829573-2011760443-3967621261,2,100,200,100x200,"(1,1,1)",1,dgp2_N100_T200_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00001_truth2-1-1,2909446021-1037833619-2825099094-51782919,2,100,200,100x200,"(2,1,1)",1,dgp2_N100_T200_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00002_truth1-0-2,3799183504-2527372708-2143059129-4199936207,2,100,200,100x200,"(1,0,2)",2,dgp2_N100_T200_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00002_truth1-1-1,2276381777-2431264747-2471652980-87082956,2,100,200,100x200,"(1,1,1)",2,dgp2_N100_T200_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00002_truth2-1-1,684342990-2637977197-4167115886-1465024264,2,100,200,100x200,"(2,1,1)",2,dgp2_N100_T200_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00000_truth1-0-2,1160717492-3103778483-85688007-845631366,2,200,100,200x100,"(1,0,2)",0,dgp2_N200_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00000_truth1-1-1,4229688592-2083594547-3011881066-1422467979,2,200,100,200x100,"(1,1,1)",0,dgp2_N200_T100_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00000_truth2-1-1,3790761225-1173807021-3031293583-885365753,2,200,100,200x100,"(2,1,1)",0,dgp2_N200_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00001_truth1-0-2,1492856023-592413499-3390446711-2652383464,2,200,100,200x100,"(1,0,2)",1,dgp2_N200_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00001_truth1-1-1,4158479276-2685889285-1523139240-1602104542,2,200,100,200x100,"(1,1,1)",1,dgp2_N200_T100_true1-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00001_truth2-1-1,1103191338-425247077-955191325-2614928788,2,200,100,200x100,"(2,1,1)",1,dgp2_N200_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00002_truth1-0-2,3410010772-3091120781-1330016960-787176426,2,200,100,200x100,"(1,0,2)",2,dgp2_N200_T100_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00002_truth1-1-1,4074403517-2217419723-3800116032-3150709109,2,200,100,200x100,"(1,1,1)",2,dgp2_N200_T100_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00002_truth2-1-1,2255864135-2383635385-3104168480-4258043776,2,200,100,200x100,"(2,1,1)",2,dgp2_N200_T100_true2-1-1_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00000_truth1-0-2,3743406758-1306273443-2267601266-3263202013,2,200,200,200x200,"(1,0,2)",0,dgp2_N200_T200_true1-0-2_r00000-00002,3,0,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00000_truth1-1-1,331614017-1639660970-1141503130-881740908,2,200,200,200x200,"(1,1,1)",0,dgp2_N200_T200_true1-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00000_truth2-1-1,2183934088-2639882523-148368913-210126692,2,200,200,200x200,"(2,1,1)",0,dgp2_N200_T200_true2-1-1_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
dgp2_N200_T200_r00001_truth1-0-2,372284910-77892654-1040877134-1104300200,2,200,200,200x200,"(1,0,2)",1,dgp2_N200_T200_true1-0-2_r00000-00002,3,1,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,"[4, 4, 4]|[4, 4, 4]|[4, 4, 4]",,1e-06,False,rank_selection_numerically_unresolved
